,question,answer,context
10,How many times is the tube pan used?,2,"preheat oven to 325 . spray a tube pan with pam cooking spray . rub in with fingers especially if using a fluted pan . you want to make sure that all the surface is coated so the cake wo n't stick . cream butter well . gradually add sugar and blend until smooth . add eggs one at a time , beating after each addition . add sour cream and mix well . beat in flour . then add flavoring . pour into pan and bake for 60 to 75 minutes or until a cake tester comes out clean . leave in pan for 10 minutes . then remove to a cooling rack . as with any cake you 're supposed to allow it to cool before slicing but i love a piece when the top is slightly crusty and the inside is soft , warm and that vanilla , buttery aroma steams up to your nose with each bite ! in your kitchen you make and break the rules . just enjoy ! for the topping , slice strawberries . sprinkle with sugar . pour in rum . stir and let sit for 1 to 2 hours so juices release and alcohol soaks into he berries . slice cake layers . top with strawberries and whipped creme ! "
11,How many actions does it take to process the cornflour?,2,"beat eggs until thick and creamy . gradually add sugar . continue beating until sugar completely dissolved . fold in sifted self rising flour and cornflour , then combined water and butter . pour mixture into prepared lamington tins 18 cm x 28 cm ( 7 in x 11 in ) . bake in moderate oven approximately 30 minutes . let cake stand in pan for 5 minutes before turning out onto wire rack . "
12,How many actions does it take to process the milk?,1,"peel and cut apples into eighths ( wedges ) . sift together flour , baking powder and salt with 4 tablespoons of the sugar . cut in butter / margarine . combine egg and milk and add to flour mixture . turn batter into greased 8 inch square cake pan . press apple wedges partly into batter . combine remaining 2 tbsp sugar and cinnamon , sprinkle over apple . bake at 425 degf for 25 to 30 minutes . "
13,How many actions does it take to process the cinnamon?,1,"peel and cut apples into eighths ( wedges ) . sift together flour , baking powder and salt with 4 tablespoons of the sugar . cut in butter / margarine . combine egg and milk and add to flour mixture . turn batter into greased 8 inch square cake pan . press apple wedges partly into batter . combine remaining 2 tbsp sugar and cinnamon , sprinkle over apple . bake at 425 degf for 25 to 30 minutes . "
14,How many actions does it take to process the carrot?,1,"place the meat and onion in a large pan and pour cold water over it . heat to boiling point , let boil rapidly for a few minutes , then skim . add dried vegetables and some salt and pepper and simmer for around 40 minutes . add rutabagas , potatoes and carrots and simmer for 20 to 25 minutes more , or until all the vegetables are tender . season to taste . the meat is either served in the soup or removed and served on a separate plate , but it is always eaten with the soup . some cut it up small , then add it back to the soup , others would eat it from a separate plate . "
15,How many times is the knife used?,1,"place the meat and onion in a large pan and pour cold water over it . heat to boiling point , let boil rapidly for a few minutes , then skim . add dried vegetables and some salt and pepper and simmer for around 40 minutes . add rutabagas , potatoes and carrots and simmer for 20 to 25 minutes more , or until all the vegetables are tender . season to taste . the meat is either served in the soup or removed and served on a separate plate , but it is always eaten with the soup . some cut it up small , then add it back to the soup , others would eat it from a separate plate . "
16,How many actions does it take to process the food coloring?,1,"in medium bowl , whisk pudding mix and milk until it 's well blended and has pudding - like texture ( about 2 minutes ) . whisk in sour cream . stir in pineapple and coconut . stir in food coloring , if desired . cover , refrigerate until chilled at least 1 hour . serve with fresh fruit dippers . "
17,How many actions does it take to process the sour cream?,2,"in medium bowl , whisk pudding mix and milk until it 's well blended and has pudding - like texture ( about 2 minutes ) . whisk in sour cream . stir in pineapple and coconut . stir in food coloring , if desired . cover , refrigerate until chilled at least 1 hour . serve with fresh fruit dippers . "
18,How many actions does it take to process the parmesan cheese?,1,"place chicken and cajun seasoning in a bowl and toss to coat . in a large skillet over medium heat , saute chicken in butter or margarine until chicken is tender , about 5 to 7 minutes . reduce heat add green onion , heavy cream , tomatoes , basil , salt , garlic powder , black pepper and heat through . pour over hot linguine and toss with parmesan cheese . "
19,How many actions does it take to process the basil?,1,"place chicken and cajun seasoning in a bowl and toss to coat . in a large skillet over medium heat , saute chicken in butter or margarine until chicken is tender , about 5 to 7 minutes . reduce heat add green onion , heavy cream , tomatoes , basil , salt , garlic powder , black pepper and heat through . pour over hot linguine and toss with parmesan cheese . "
20,How many actions does it take to process the lettuce leaf?,2,"scoop out center of both halves of bread , leaving 1/2-inch shell . brush both cut - sides of bread with salad dressing . layer bottom half of bread with 1 lettuce leaf , half cheese , half ham , vegetable salad , remaining ham , remaining cheese and 1 lettuce leaf . cover with top half of bread . "
21,How many actions does it take to process the vegetable salad?,1,"scoop out center of both halves of bread , leaving 1/2-inch shell . brush both cut - sides of bread with salad dressing . layer bottom half of bread with 1 lettuce leaf , half cheese , half ham , vegetable salad , remaining ham , remaining cheese and 1 lettuce leaf . cover with top half of bread . "
22,How many times is the mortar and pestle used?,1,"toast the sesame seeds in a fry pan over medium low heat , stirring constantly ( approximately 5 minutes ) . crush with mortar and pestle or in a blender . mix in remaining ingredients . store in a bottle in the fridge . "
23,How many times is the blender used?,2,"toast the sesame seeds in a fry pan over medium low heat , stirring constantly ( approximately 5 minutes ) . crush with mortar and pestle or in a blender . mix in remaining ingredients . store in a bottle in the fridge . "
24,How many actions does it take to process the sesame seed?,3,"toast the sesame seeds in a fry pan over medium low heat , stirring constantly ( approximately 5 minutes ) . crush with mortar and pestle or in a blender . mix in remaining ingredients . store in a bottle in the fridge . "
25,How many actions does it take to process the egg?,1,"combine milk , sugar replacement , salt , vanilla and eggs in large bowl . beat to blend well . pour into six 1/2 cup individual baking dishes ; sprinkle with nutmeg . set cups in large baking pan . add 1 inch of water to pan . bake custard at 350 degf for 45 min . or until knife inserted in center comes out clean . "
26,How many actions does it take to process the sugar replacement?,1,"combine milk , sugar replacement , salt , vanilla and eggs in large bowl . beat to blend well . pour into six 1/2 cup individual baking dishes ; sprinkle with nutmeg . set cups in large baking pan . add 1 inch of water to pan . bake custard at 350 degf for 45 min . or until knife inserted in center comes out clean . "
27,How many times is the large bowl used?,1,"toss together cucumbers , vinegar , oil , salt , and red pepper flakes in a large bowl . refrigerate up to 6 hours . before serving , toss well , then pour off excess liquid . add mint and toss again . taste and adjust seasoning if necessary . garnish with mint leaves . serve chilled . "
28,How many actions does it take to process the red pepper flake?,1,"toss together cucumbers , vinegar , oil , salt , and red pepper flakes in a large bowl . refrigerate up to 6 hours . before serving , toss well , then pour off excess liquid . add mint and toss again . taste and adjust seasoning if necessary . garnish with mint leaves . serve chilled . "
29,How many actions does it take to process the cucumber?,1,"toss together cucumbers , vinegar , oil , salt , and red pepper flakes in a large bowl . refrigerate up to 6 hours . before serving , toss well , then pour off excess liquid . add mint and toss again . taste and adjust seasoning if necessary . garnish with mint leaves . serve chilled . "
30,How many actions does it take to process the lime?,1,"in a large pot , bring 4 quarts water to a boil over high heat . meanwhile , in a mixing bowl , mash the avocado . stir in the lime or lemon juice , onion , tomato , chopped basil , and salt and pepper to taste . set aside . when the water boils , stir in 1 tablespoon salt , add the pasta , and cook until tender but still firm to the bite . drain and transfer to a preheated bowl . quickly stir in the reserved avocado mixture . garnish with basil sprigs and serve immediately . pass the cheese at the table . "
31,How many actions does it take to process the salt?,2,"in a large pot , bring 4 quarts water to a boil over high heat . meanwhile , in a mixing bowl , mash the avocado . stir in the lime or lemon juice , onion , tomato , chopped basil , and salt and pepper to taste . set aside . when the water boils , stir in 1 tablespoon salt , add the pasta , and cook until tender but still firm to the bite . drain and transfer to a preheated bowl . quickly stir in the reserved avocado mixture . garnish with basil sprigs and serve immediately . pass the cheese at the table . "
32,How many actions does it take to process the sausage meat?,1,"mix sausage meat , onion , herbs and seasoning together . press mixture firmly around eggs . roll in flour ; dip in egg and coat with breadcrumbs . chill for 1 hour . deep fry for about 10 minutes until crisp . drain and serve with salad . for the salad , arrange tomato and onion on a plate . whisk remaining ingredients together . pour over tomatoes . season and serve . "
33,How many actions does it take to process the onion?,2,"mix sausage meat , onion , herbs and seasoning together . press mixture firmly around eggs . roll in flour ; dip in egg and coat with breadcrumbs . chill for 1 hour . deep fry for about 10 minutes until crisp . drain and serve with salad . for the salad , arrange tomato and onion on a plate . whisk remaining ingredients together . pour over tomatoes . season and serve . "
34,How many actions does it take to process the creole seasoning?,1,"rinse the prawns well and season them with creole seasoning , salt and pepper . in a large skillet heat a tab of olive oil . saute the prawns for a couple of minutes to slightly pink , 2 to 3 minutes . remove the prawns from the heat and place them in a bowl , cover tight with aluminum foil and set aside . return the skillet to the heat and add the wine , shallots and chives . cook stirring until the wine is almost evaporated . remove the skillet from the heat and add the butter . swirl to melt and whisk to thoroughly incorporate and the sauce thickens and looks creamy . stir in the lemon juice , season with salt and pepper to taste . serve immediately over prawns . "
35,How many times is the wire whisk used?,1,"preheat your oven to 425degf and get a 9 "" round cake pan or 8""x4 "" loaf pan ready by generously buttering it . 1 . combine all your ingredients . 2 . mix with a wire whisk until you get a smooth batter ( careful not to over mix ) , then pour into your pan . 3 . bake for 30 minutes . "
36,How many times is the oven used?,3,"preheat your oven to 425degf and get a 9 "" round cake pan or 8""x4 "" loaf pan ready by generously buttering it . 1 . combine all your ingredients . 2 . mix with a wire whisk until you get a smooth batter ( careful not to over mix ) , then pour into your pan . 3 . bake for 30 minutes . "
37,How many actions does it take to process the salt?,1,"preheat oven to 375 degrees spray baking sheets with veg non - stick spray . cream your margarine , sugars and vanilla extract together until evenly mixed . using a whisk , whisk together your water and ener - g egg replaces until it is thick and foamy . slowly beat in your "" egg "" mixture into your creamed ingredients . slowly add your flour , baking soda and salt until completely mixed . stir in your walnuts and chocolate chips . roll dough into small balls or use a cookies scoop to place 12 cookies worth of dough on your baking sheet . bake for 8 - 10 minutes . "
38,How many actions does it take to process the onion?,1,"wash the catfish fillets and cut into 1-inch , bite - sized pieces . poach gently in water flavored with the onion , lemon , pepper , salt , and bay leaves . cook in 2 or 3 batches to prevent crowding the . lift the from the water and set aside . mix all 9 ingredients for the marinade in a large bowl . gently add the cooked catfish pieces , turning to coat well . cover and refrigerate for at least 4 hours or overnight . "
39,How many times is the refrigerator used?,1,"wash the catfish fillets and cut into 1-inch , bite - sized pieces . poach gently in water flavored with the onion , lemon , pepper , salt , and bay leaves . cook in 2 or 3 batches to prevent crowding the . lift the from the water and set aside . mix all 9 ingredients for the marinade in a large bowl . gently add the cooked catfish pieces , turning to coat well . cover and refrigerate for at least 4 hours or overnight . "
40,How many actions does it take to process the shredded coconut?,1,"first break the eggs into mixing bowl . set the bowl in hot water , and beat the eggs with an egg beater till stiff . fold into the beaten eggs the hot molasses . fold in the flour and shredded coconut . put on an oiled and floured pan with a spoon or pastry bag , and bake . "
41,How many actions does it take to process the hot water?,1,"first break the eggs into mixing bowl . set the bowl in hot water , and beat the eggs with an egg beater till stiff . fold into the beaten eggs the hot molasses . fold in the flour and shredded coconut . put on an oiled and floured pan with a spoon or pastry bag , and bake . "
42,How many actions does it take to process the apple?,1,"add rum , fruits , ice , juice , and yoghurt to a blender . ensure the orange is peeled and seedless . cut seeds out of apple . blend for 1 minute and you 're ready for the eskimo . "
43,How many actions does it take to process the ice?,2,"add rum , fruits , ice , juice , and yoghurt to a blender . ensure the orange is peeled and seedless . cut seeds out of apple . blend for 1 minute and you 're ready for the eskimo . "
44,How many actions does it take to process the fish?,2,"1 . combine first 6 ingredients 2 . add the mayonnaise preparation to the shrimp and gently toss 3 . leave at room temperature not more than 20 minutes or if desired it can be served cold . 4 . just prior to serving add the 1/2 cup tenkasu so that the crispiness is there with every chopstick bite 5 . dip in soy sauce if desired ; pickled ginger as well . optional i also plated some of the sashimi on crisp romaine lettuce leaves and topped that with slices of avocado . as well , while shopping at the japanese grocery store i saw vacuum packed tempura which are ready to fry . i bought this on a lark to see the taste and when fried a la minute ( to order ) it was really tasty . remember frying oil must be between 300 - 350 to get the crispiness quickly so that your tempura does not soak up the oil * * * i have a fear of tapeworm - an illogical fear . before i make any uncooked fish at home whether for sashimi or sushi i freeze my fish overnight or longer . then i defrost it and use it raw . the freezing kills the parasites that cause tapeworm . i do n't even trust my fishmonger - as i said it is an illogical fear . "
45,How many actions does it take to process the cabbage?,3,"cover the cabbage with cold water . chill 2 hours . drain . cover with boiling water and simmer 5 minutes . drain well . combine the rest of the ingredients lightly with the cabbage . bake in a buttered baking dish 30 to 40 minutes in a preheated 350of oven , or until browned on top . "
46,How many actions does it take to process the boiling water?,1,"cover the cabbage with cold water . chill 2 hours . drain . cover with boiling water and simmer 5 minutes . drain well . combine the rest of the ingredients lightly with the cabbage . bake in a buttered baking dish 30 to 40 minutes in a preheated 350of oven , or until browned on top . "
47,How many actions does it take to process the french toast?,2,combine the above ingredients for the bread wash in a shallow bowl and beat with fork . heat a griddle with a pat of butter . do not have the heat too high or the butter will burn . dip the bread in the wash on both sides and place on a griddle . do not soak the bread or it will fall apart . dust the french toast with powdered sugar ; add a little extra butter and syrup . 
48,How many actions does it take to process the butter?,3,combine the above ingredients for the bread wash in a shallow bowl and beat with fork . heat a griddle with a pat of butter . do not have the heat too high or the butter will burn . dip the bread in the wash on both sides and place on a griddle . do not soak the bread or it will fall apart . dust the french toast with powdered sugar ; add a little extra butter and syrup . 
49,How many actions does it take to process the chicken piece?,2,"arrange the chicken in a baking pan / casserole . if using bigger pieces of chicken , make small cuts on several areas on the surface , in order for the marinade to absorb well . add the oil , salt , pepper , harissa , mediterranean seasoning and paprika and rub well into the chicken . arrnage the lemon slices , filling the gaps in the casserole and place a few under the chicken pieces too . preheat oven to 375f. cover casserole with foil and place in the oven . let cook this way for 15 mins or so . remove foil and place it back in the oven . bake till chicken is done all the way through . a thermometer should read 165f when placed into the chicken , near the bones , if you are using bone - in chicken pieces . remove from oven . let rest for 5 mins or so . serve hot . "
50,How many actions does it take to process the mediterranean seasoning?,2,"arrange the chicken in a baking pan / casserole . if using bigger pieces of chicken , make small cuts on several areas on the surface , in order for the marinade to absorb well . add the oil , salt , pepper , harissa , mediterranean seasoning and paprika and rub well into the chicken . arrnage the lemon slices , filling the gaps in the casserole and place a few under the chicken pieces too . preheat oven to 375f. cover casserole with foil and place in the oven . let cook this way for 15 mins or so . remove foil and place it back in the oven . bake till chicken is done all the way through . a thermometer should read 165f when placed into the chicken , near the bones , if you are using bone - in chicken pieces . remove from oven . let rest for 5 mins or so . serve hot . "
51,How many actions does it take to process the banana?,2,"cook the rice and milk in 2-quart saucepan about 15 to 20 minutes stirring frequently . cool . stir in vanilla and sugar substitute . just before serving , fold in banana and whipped cream . garnish with kiwi slices . "
52,How many actions does it take to process the whipped cream?,2,"cook the rice and milk in 2-quart saucepan about 15 to 20 minutes stirring frequently . cool . stir in vanilla and sugar substitute . just before serving , fold in banana and whipped cream . garnish with kiwi slices . "
53,How many actions does it take to process the annatto seed?,1,heat the annatto seeds in a small saucepan until slightly toasty . add the olive oil and continue to heat for 3 to 4 minutes . now strain the oil and pour it over the shrimp . turn the shrimp over and allow to marinate at least 10 minutes . squeeze the lime over the shrimp and season . 
54,How many actions does it take to process the olive oil?,1,heat the annatto seeds in a small saucepan until slightly toasty . add the olive oil and continue to heat for 3 to 4 minutes . now strain the oil and pour it over the shrimp . turn the shrimp over and allow to marinate at least 10 minutes . squeeze the lime over the shrimp and season . 
55,How many actions does it take to process the lemon juice?,1,"preheat the oven to 220degc / 425degf / gas mark 7 . place the achiote paste , garlic , ginger , oregano , chillies , lemon juice and zest and olive oil in a food processor and process until smooth . make 3 or 4 deep cuts on each side of the then rub the oil mixture over and inside the forcing it into the cuts . lightly oil a piece of aluminium foil which is large enough to totally enclose the and place in centre . ( traditionally banana leaves would be used . ) place tomatoes , onion , peppers and mint in bowl , season with salt and toss to mix then arrange the vegetables on top of the and fold the foil up into a parcel . bake for about 30 minutes or until the is cooked through . "
56,How many times is the food processor used?,2,"preheat the oven to 220degc / 425degf / gas mark 7 . place the achiote paste , garlic , ginger , oregano , chillies , lemon juice and zest and olive oil in a food processor and process until smooth . make 3 or 4 deep cuts on each side of the then rub the oil mixture over and inside the forcing it into the cuts . lightly oil a piece of aluminium foil which is large enough to totally enclose the and place in centre . ( traditionally banana leaves would be used . ) place tomatoes , onion , peppers and mint in bowl , season with salt and toss to mix then arrange the vegetables on top of the and fold the foil up into a parcel . bake for about 30 minutes or until the is cooked through . "
57,How many actions does it take to process the garlic?,1,"preheat the oven to 220degc / 425degf / gas mark 7 . place the achiote paste , garlic , ginger , oregano , chillies , lemon juice and zest and olive oil in a food processor and process until smooth . make 3 or 4 deep cuts on each side of the then rub the oil mixture over and inside the forcing it into the cuts . lightly oil a piece of aluminium foil which is large enough to totally enclose the and place in centre . ( traditionally banana leaves would be used . ) place tomatoes , onion , peppers and mint in bowl , season with salt and toss to mix then arrange the vegetables on top of the and fold the foil up into a parcel . bake for about 30 minutes or until the is cooked through . "
58,How many actions does it take to process the coarse bread crumb?,1,"combine the dry ingredients and butter in a food processor or use a bowl and a pastry cutter ; pulse or mix until the mixture resembles coarse bread crumbs . add the water a few tablespoons at a time , using just enough until a dough is formed . wrap in plastic wrap and refrigerate until firm , at least 1 hour . preheat oven to 350degf. have ready a 9-inch pie pan and pie weights for blind baking the crust . on a lightly floured work surface , roll out the dough to a 1/8-inch - thick circle and transfer to the pie pan , trimming edges to fit . allow to rest in the refrigerator for at least 30 minutes ( or freeze for later use ) . line the chilled pie shell with aluminum foil or parchment paper and weigh it down with pie weights or uncooked beans . bake for 20 minutes or until light golden brown . "
59,How many times is the knife used?,1,"combine the dry ingredients and butter in a food processor or use a bowl and a pastry cutter ; pulse or mix until the mixture resembles coarse bread crumbs . add the water a few tablespoons at a time , using just enough until a dough is formed . wrap in plastic wrap and refrigerate until firm , at least 1 hour . preheat oven to 350degf. have ready a 9-inch pie pan and pie weights for blind baking the crust . on a lightly floured work surface , roll out the dough to a 1/8-inch - thick circle and transfer to the pie pan , trimming edges to fit . allow to rest in the refrigerator for at least 30 minutes ( or freeze for later use ) . line the chilled pie shell with aluminum foil or parchment paper and weigh it down with pie weights or uncooked beans . bake for 20 minutes or until light golden brown . "
60,How many times is the food processor used?,2,"combine the dry ingredients and butter in a food processor or use a bowl and a pastry cutter ; pulse or mix until the mixture resembles coarse bread crumbs . add the water a few tablespoons at a time , using just enough until a dough is formed . wrap in plastic wrap and refrigerate until firm , at least 1 hour . preheat oven to 350degf. have ready a 9-inch pie pan and pie weights for blind baking the crust . on a lightly floured work surface , roll out the dough to a 1/8-inch - thick circle and transfer to the pie pan , trimming edges to fit . allow to rest in the refrigerator for at least 30 minutes ( or freeze for later use ) . line the chilled pie shell with aluminum foil or parchment paper and weigh it down with pie weights or uncooked beans . bake for 20 minutes or until light golden brown . "
61,How many times is the parchment used?,2,"preheat oven to 350 degrees . line two cookies sheets with parchment and set aside . in a large bowl , sift together flour and baking soda . in the bowl of your stand mixer whip butter and oil together until butter is broken down . add the sugars and mix again . add 1 egg and the vanilla extract . slowly add in the dry ingredients until a sticky and wet dough comes together . fold in chocolate chips ( if more chocolate chips are desired , add more ) . drop teaspoon amounts of cookie dough on each cookie sheet leaving about 1-inch of space between each . bake for 8 minutes or until golden . transfer the cookies onto a wire cooling rack by sliding them off the tray with the parchment and leaving them until they have completely cooled . "
62,How many times is the cutting board used?,2,"mix the flour , oil , egg , salt and sugar in a bowl . while kneading , add a tablespoon or two of water . cut the cheese into strips into a finger - like shape form it into balls slightly larger than your fist and roll them enfold the cheese "" fingers "" with the dough strips "
63,How many actions does it take to process the flour?,1,"mix the flour , oil , egg , salt and sugar in a bowl . while kneading , add a tablespoon or two of water . cut the cheese into strips into a finger - like shape form it into balls slightly larger than your fist and roll them enfold the cheese "" fingers "" with the dough strips "
64,How many actions does it take to process the cheese?,1,"mix the flour , oil , egg , salt and sugar in a bowl . while kneading , add a tablespoon or two of water . cut the cheese into strips into a finger - like shape form it into balls slightly larger than your fist and roll them enfold the cheese "" fingers "" with the dough strips "
65,How many actions does it take to process the red wine?,1,"place hibiscus leaves on a piece of cheesecloth and tie into a tight bundle . set aside . in a medium saucepan combine orange juice , red wine , water and brown sugar . bring to a boil over medium high heat . add hibiscus clove bundle to the liquid and boil for two minutes . stir orange zest into mixture and add cranberries . bring mixture back to a boil . reduce heat to low , cover and simmer for 8 minutes until the liquid reduces . pour cranberry sauce into a mason jar and let cool uncovered . store in the fridge for up to a week before thanksgiving . "
66,How many actions does it take to process the chinese 5 spice?,2,"preheat oven to 350 degrees f. cream sugar , egg and shortening together . add all purpose baking mix and chinese 5 spice . mix well . roll teaspoonfuls of dough into balls and roll the balls in sugar . bake at 350 degrees f for 5 to 6 minutes . "
67,How many actions does it take to process the shorten?,1,"preheat oven to 350 degrees f. cream sugar , egg and shortening together . add all purpose baking mix and chinese 5 spice . mix well . roll teaspoonfuls of dough into balls and roll the balls in sugar . bake at 350 degrees f for 5 to 6 minutes . "
68,How many actions does it take to process the tomato sauce?,1,"preheat oven to 350degf. heat oil in heavy fry pan . pound steak on both sides with heavy meat mallet , and cut into serving size pieces . combine bake mix and garlic and pound into meat pieces . fry in hot oil til browned on all sides . layer in 13x9x2 baking dish and sprinkle soup mix over meat . mix tomato sauce and 1/4 cup water and pour over all . cover tightly with foil . bake 2 - 3 hours til tender . check each hour , will need to add water . "
69,How many actions does it take to process the soup mix?,1,"preheat oven to 350degf. heat oil in heavy fry pan . pound steak on both sides with heavy meat mallet , and cut into serving size pieces . combine bake mix and garlic and pound into meat pieces . fry in hot oil til browned on all sides . layer in 13x9x2 baking dish and sprinkle soup mix over meat . mix tomato sauce and 1/4 cup water and pour over all . cover tightly with foil . bake 2 - 3 hours til tender . check each hour , will need to add water . "
70,How many actions does it take to process the heavy cream?,2,"blend everything except the heavy cream and schnapps in a blender or food processor , and chill , covered , in a metal bowl in the refrigerator at least 8 hours . whip the heavy cream and schnapps until it forms stiff peaks , and fold it into the fruit mixture . serve immediately . cooking time is chilling time . "
71,How many actions does it take to process the schnapp?,2,"blend everything except the heavy cream and schnapps in a blender or food processor , and chill , covered , in a metal bowl in the refrigerator at least 8 hours . whip the heavy cream and schnapps until it forms stiff peaks , and fold it into the fruit mixture . serve immediately . cooking time is chilling time . "
72,How many actions does it take to process the salad oil?,1,cut leeks in 5 - 7 cm pieces . cook them in salted boiling water until they are tender but still whole . mix some lemon juice and a little salad oil and pour on the vegetable . let cool a few hours in the fridge . 
73,How many actions does it take to process the vegetable?,1,cut leeks in 5 - 7 cm pieces . cook them in salted boiling water until they are tender but still whole . mix some lemon juice and a little salad oil and pour on the vegetable . let cool a few hours in the fridge . 
