,question,context,answer
10,How many spatulas are used?,"cook pasta # part : cook # in large salted # part : cook # pot # part : cook # of boiling # part : cook # water according to pasta package directions . in a large # part : melt # skillet over medium high heat melt 4 tablespoons of butter # part : melt # add # habitat : large skillet 2.1.3 # the garlic # part : add # and shrimps # part : add # . cook # habitat : large skillet 2.1.3 # shrimp # part : cook # until pink on the outside and still springy to the touch . remove the shrimps # part : remove # from the skillet and place # drop : shrimps 3.1.5 # them in a shallow # part : place # dish . cover # habitat : shallow dish 4.1.12 # with aluminum # part : cover # foil . add the wine # part : add # and the cherry # part : add # tomatoes to the skillet . cook # habitat : large skillet 2.1.3 # on high heat until the tomatoes # part : cook # are warm . 2 - 3 minutes . drain # shadow : boiling water 1.1.8, habitat : sink 6.1.1 # the pasta # part : drain # and reserve 1/2 cup of the cooking # part : reserve # water . add the pasta # part : add # to the skillet # part : add # . add # habitat : large skillet 2.1.3 # the shrimps # part : add # , 2 tablespoons butter # part : add # and parsley # part : add # . mix # drop : shrimps 3.1.5 pasta 1.1.2 butter 7.2.7 parsley 7.2.9, result : pasta with tomato garlic and shrimp 7.3.1, tool : spatula 7.3.1, habitat : large skillet 2.1.3 # well and add some of the cooking # part : add # water to keep moist . serve # drop : pasta with tomato garlic and shrimp 7.3.1 # hot . ",1
11,How many frying pans are used?,"combine # result : mixture 1.1.1 # all of the above ingredients # part : combine # in a food # part : combine # processor and process # drop : ingredients 1.1.6, habitat : food processor 1.1.9 # until smooth . form the mixture # part : form # into 1/2 inch thick patties . on medium heat ; heat a large # part : heat # frying pan with a tablespoon of vegetable # part : heat # oil . carefully place the patties # part : place # in the frying # part : place # pan . let the patties # part : turn # get golden on one side then carefully turn # habitat : large frying pan 3.1.7 # over and finish cooking # drop : patties 2.1.8, habitat : large frying pan 3.1.7 # on the other side . place # drop : patties 2.1.8, result : patty sandwich 4.1.1 # on your favorite bread # part : place # with your favorite sandwich # part : place # toppers . ",1
12,How many actions does it take to process the vegetable oil?,"combine # result : mixture 1.1.1 # all of the above ingredients # part : combine # in a food # part : combine # processor and process # drop : ingredients 1.1.6, habitat : food processor 1.1.9 # until smooth . form the mixture # part : form # into 1/2 inch thick patties . on medium heat ; heat a large # part : heat # frying pan with a tablespoon of vegetable # part : heat # oil . carefully place the patties # part : place # in the frying # part : place # pan . let the patties # part : turn # get golden on one side then carefully turn # habitat : large frying pan 3.1.7 # over and finish cooking # drop : patties 2.1.8, habitat : large frying pan 3.1.7 # on the other side . place # drop : patties 2.1.8, result : patty sandwich 4.1.1 # on your favorite bread # part : place # with your favorite sandwich # part : place # toppers . ",1
13,How many actions does it take to process the potato?,"boil # shadow : water 1.1.1, habitat : pot 1.1.1 # the potatoes # part : boil # for 20 minutes or until cooked . drain # drop : water 1.1.1 # and rinse # drop : potatoes 1.1.3, habitat : sink 1.2.3 # under cold # part : rinse # water to cool . peel # tool : peeler 2.1.1 # the potatoes # part : peel # and slice # drop : potatoes 1.1.3, tool : knife 2.1.5 # them . mix # result : yogurt and mayo mixture 3.1.1, tool : spoon 3.1.1, habitat : bowl 3.1.1 # yogurt # part : mix # and mayonnaise # part : mix # . cut # tool : knife 3.2.1 # the salad # part : cut # cucumber slices into quarters . add # habitat : bowl 3.1.1 # the salad # part : add # cucumber , chopped # part : add # pickles , sliced # part : add # onions and radishes # part : add # cut into quarters to the yogurt # part : add # and mayonnaise # part : add # mixture . whisk # drop : yogurt and mayo mixture 3.1.1, result : yogurt and mayo mixture 3.1.1, tool : whisk 5.1.1, habitat : bowl 3.1.1 # in the lemon # part : whisk # juice . gently stir # result : creamy potato salad 6.1.2, tool : spoon 6.1.2 # the mayonnaise # part : stir # sauce into the potatoes # part : stir # . sprinkle the salad # part : sprinkle # with chopped # part : sprinkle # parsley and dill # part : sprinkle # . rub the interior of each trout # part : rub # with salt # part : rub # and fill # drop : trout 7.1.6 # with 1 - 2 slices of lemon # part : fill # . season the trout # part : season # with salt # part : season # and pepper # part : season # on the outside , place # drop : trout 7.1.6 # in the non # part : place # stick pan , sprinkle # drop : trout 7.1.6, habitat : non stick pan 8.1.15 # lightly with olive # part : sprinkle # oil . bake # result : baked trout 9.1.1 # the trout # part : bake # in oven # part : bake # for 15 minutes at 200degc or until done . serve # drop : baked trout 9.1.1 # with creamy # part : serve # potato salad . ",5
14,How many sinks are used?,"boil # shadow : water 1.1.1, habitat : pot 1.1.1 # the potatoes # part : boil # for 20 minutes or until cooked . drain # drop : water 1.1.1 # and rinse # drop : potatoes 1.1.3, habitat : sink 1.2.3 # under cold # part : rinse # water to cool . peel # tool : peeler 2.1.1 # the potatoes # part : peel # and slice # drop : potatoes 1.1.3, tool : knife 2.1.5 # them . mix # result : yogurt and mayo mixture 3.1.1, tool : spoon 3.1.1, habitat : bowl 3.1.1 # yogurt # part : mix # and mayonnaise # part : mix # . cut # tool : knife 3.2.1 # the salad # part : cut # cucumber slices into quarters . add # habitat : bowl 3.1.1 # the salad # part : add # cucumber , chopped # part : add # pickles , sliced # part : add # onions and radishes # part : add # cut into quarters to the yogurt # part : add # and mayonnaise # part : add # mixture . whisk # drop : yogurt and mayo mixture 3.1.1, result : yogurt and mayo mixture 3.1.1, tool : whisk 5.1.1, habitat : bowl 3.1.1 # in the lemon # part : whisk # juice . gently stir # result : creamy potato salad 6.1.2, tool : spoon 6.1.2 # the mayonnaise # part : stir # sauce into the potatoes # part : stir # . sprinkle the salad # part : sprinkle # with chopped # part : sprinkle # parsley and dill # part : sprinkle # . rub the interior of each trout # part : rub # with salt # part : rub # and fill # drop : trout 7.1.6 # with 1 - 2 slices of lemon # part : fill # . season the trout # part : season # with salt # part : season # and pepper # part : season # on the outside , place # drop : trout 7.1.6 # in the non # part : place # stick pan , sprinkle # drop : trout 7.1.6, habitat : non stick pan 8.1.15 # lightly with olive # part : sprinkle # oil . bake # result : baked trout 9.1.1 # the trout # part : bake # in oven # part : bake # for 15 minutes at 200degc or until done . serve # drop : baked trout 9.1.1 # with creamy # part : serve # potato salad . ",1
15,How many spoons are used?,"boil # shadow : water 1.1.1, habitat : pot 1.1.1 # the potatoes # part : boil # for 20 minutes or until cooked . drain # drop : water 1.1.1 # and rinse # drop : potatoes 1.1.3, habitat : sink 1.2.3 # under cold # part : rinse # water to cool . peel # tool : peeler 2.1.1 # the potatoes # part : peel # and slice # drop : potatoes 1.1.3, tool : knife 2.1.5 # them . mix # result : yogurt and mayo mixture 3.1.1, tool : spoon 3.1.1, habitat : bowl 3.1.1 # yogurt # part : mix # and mayonnaise # part : mix # . cut # tool : knife 3.2.1 # the salad # part : cut # cucumber slices into quarters . add # habitat : bowl 3.1.1 # the salad # part : add # cucumber , chopped # part : add # pickles , sliced # part : add # onions and radishes # part : add # cut into quarters to the yogurt # part : add # and mayonnaise # part : add # mixture . whisk # drop : yogurt and mayo mixture 3.1.1, result : yogurt and mayo mixture 3.1.1, tool : whisk 5.1.1, habitat : bowl 3.1.1 # in the lemon # part : whisk # juice . gently stir # result : creamy potato salad 6.1.2, tool : spoon 6.1.2 # the mayonnaise # part : stir # sauce into the potatoes # part : stir # . sprinkle the salad # part : sprinkle # with chopped # part : sprinkle # parsley and dill # part : sprinkle # . rub the interior of each trout # part : rub # with salt # part : rub # and fill # drop : trout 7.1.6 # with 1 - 2 slices of lemon # part : fill # . season the trout # part : season # with salt # part : season # and pepper # part : season # on the outside , place # drop : trout 7.1.6 # in the non # part : place # stick pan , sprinkle # drop : trout 7.1.6, habitat : non stick pan 8.1.15 # lightly with olive # part : sprinkle # oil . bake # result : baked trout 9.1.1 # the trout # part : bake # in oven # part : bake # for 15 minutes at 200degc or until done . serve # drop : baked trout 9.1.1 # with creamy # part : serve # potato salad . ",2
16,How many pots are used?,"boil # shadow : water 1.1.1, habitat : pot 1.1.1 # the potatoes # part : boil # for 20 minutes or until cooked . drain # drop : water 1.1.1 # and rinse # drop : potatoes 1.1.3, habitat : sink 1.2.3 # under cold # part : rinse # water to cool . peel # tool : peeler 2.1.1 # the potatoes # part : peel # and slice # drop : potatoes 1.1.3, tool : knife 2.1.5 # them . mix # result : yogurt and mayo mixture 3.1.1, tool : spoon 3.1.1, habitat : bowl 3.1.1 # yogurt # part : mix # and mayonnaise # part : mix # . cut # tool : knife 3.2.1 # the salad # part : cut # cucumber slices into quarters . add # habitat : bowl 3.1.1 # the salad # part : add # cucumber , chopped # part : add # pickles , sliced # part : add # onions and radishes # part : add # cut into quarters to the yogurt # part : add # and mayonnaise # part : add # mixture . whisk # drop : yogurt and mayo mixture 3.1.1, result : yogurt and mayo mixture 3.1.1, tool : whisk 5.1.1, habitat : bowl 3.1.1 # in the lemon # part : whisk # juice . gently stir # result : creamy potato salad 6.1.2, tool : spoon 6.1.2 # the mayonnaise # part : stir # sauce into the potatoes # part : stir # . sprinkle the salad # part : sprinkle # with chopped # part : sprinkle # parsley and dill # part : sprinkle # . rub the interior of each trout # part : rub # with salt # part : rub # and fill # drop : trout 7.1.6 # with 1 - 2 slices of lemon # part : fill # . season the trout # part : season # with salt # part : season # and pepper # part : season # on the outside , place # drop : trout 7.1.6 # in the non # part : place # stick pan , sprinkle # drop : trout 7.1.6, habitat : non stick pan 8.1.15 # lightly with olive # part : sprinkle # oil . bake # result : baked trout 9.1.1 # the trout # part : bake # in oven # part : bake # for 15 minutes at 200degc or until done . serve # drop : baked trout 9.1.1 # with creamy # part : serve # potato salad . ",1
17,How many whisks are used?,"boil # shadow : water 1.1.1, habitat : pot 1.1.1 # the potatoes # part : boil # for 20 minutes or until cooked . drain # drop : water 1.1.1 # and rinse # drop : potatoes 1.1.3, habitat : sink 1.2.3 # under cold # part : rinse # water to cool . peel # tool : peeler 2.1.1 # the potatoes # part : peel # and slice # drop : potatoes 1.1.3, tool : knife 2.1.5 # them . mix # result : yogurt and mayo mixture 3.1.1, tool : spoon 3.1.1, habitat : bowl 3.1.1 # yogurt # part : mix # and mayonnaise # part : mix # . cut # tool : knife 3.2.1 # the salad # part : cut # cucumber slices into quarters . add # habitat : bowl 3.1.1 # the salad # part : add # cucumber , chopped # part : add # pickles , sliced # part : add # onions and radishes # part : add # cut into quarters to the yogurt # part : add # and mayonnaise # part : add # mixture . whisk # drop : yogurt and mayo mixture 3.1.1, result : yogurt and mayo mixture 3.1.1, tool : whisk 5.1.1, habitat : bowl 3.1.1 # in the lemon # part : whisk # juice . gently stir # result : creamy potato salad 6.1.2, tool : spoon 6.1.2 # the mayonnaise # part : stir # sauce into the potatoes # part : stir # . sprinkle the salad # part : sprinkle # with chopped # part : sprinkle # parsley and dill # part : sprinkle # . rub the interior of each trout # part : rub # with salt # part : rub # and fill # drop : trout 7.1.6 # with 1 - 2 slices of lemon # part : fill # . season the trout # part : season # with salt # part : season # and pepper # part : season # on the outside , place # drop : trout 7.1.6 # in the non # part : place # stick pan , sprinkle # drop : trout 7.1.6, habitat : non stick pan 8.1.15 # lightly with olive # part : sprinkle # oil . bake # result : baked trout 9.1.1 # the trout # part : bake # in oven # part : bake # for 15 minutes at 200degc or until done . serve # drop : baked trout 9.1.1 # with creamy # part : serve # potato salad . ",1
18,How many actions does it take to process the cheese?,"mix # result : mixture 1.1.1 # together first 4 ingredients # part : mix # . spread # drop : mixture 1.1.1 # evenly on toast # part : spread # rounds . place # drop : toast rounds 2.1.4 # on baking # part : place # sheet , and broil 2 minutes or until cheese # part : melts # melts . serve hot . ",1
19,How many actions does it take to process the toast round?,"mix # result : mixture 1.1.1 # together first 4 ingredients # part : mix # . spread # drop : mixture 1.1.1 # evenly on toast # part : spread # rounds . place # drop : toast rounds 2.1.4 # on baking # part : place # sheet , and broil 2 minutes or until cheese # part : melts # melts . serve hot . ",2
